"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.lupo.com.br/pijama-lupo-af-shdoll-modal-floral-24595-900/p","1","index, follow","","","https://www.lupo.com.br/pijama-lupo-af-shdoll-modal-floral-24595-900/p","","Indexable",""
"https://www.lupo.com.br/meia-disney-km-cars-02230-130/p","1","index, follow","","","https://www.lupo.com.br/meia-disney-km-cars-02230-130/p","","Indexable",""
"https://www.lupo.com.br/calcinha-curve-sem-costura-40378-001/p","1","index, follow","","","https://www.lupo.com.br/calcinha-curve-sem-costura-40378-001/p","","Indexable",""
"https://www.lupo.com.br/blusa-loba-af-basica-41600-001/p","1","index, follow","","","https://www.lupo.com.br/blusa-loba-af-basica-41600-001/p","","Indexable",""
"https://www.lupo.com.br/calcinha-loba-af-biquini-basico-40400-001/p","1","index, follow","","","https://www.lupo.com.br/calcinha-loba-af-biquini-basico-40400-001/p","","Indexable",""
"https://www.lupo.com.br/feminino/pijamas","1","index, follow","","","https://www.lupo.com.br/feminino/pijamas","","Indexable",""
"https://www.lupo.com.br/produtos/roupas-femininas","1","index, follow","","","https://www.lupo.com.br/produtos/roupas-femininas","","Indexable",""
"https://www.lupo.com.br/blusa-loba-af-warm-g-a-45264-001/p","1","index, follow","","","https://www.lupo.com.br/blusa-loba-af-warm-g-a-45264-001/p","","Indexable",""
"https://www.lupo.com.br/suti-curve-sem-costura-41378-001/p","1","index, follow","","","https://www.lupo.com.br/suti-curve-sem-costura-41378-001/p","","Indexable",""
"https://www.lupo.com.br/produtos","1","index, follow","","","https://www.lupo.com.br/produtos","","Indexable",""
"https://www.lupo.com.br/feminino/modeladores","1","index, follow","","","https://www.lupo.com.br/feminino/modeladores","","Indexable",""
"https://www.lupo.com.br/feminino/meias","1","index, follow","","","https://www.lupo.com.br/feminino/meias","","Indexable",""
"https://www.lupo.com.br/feminino/sutia","1","index, follow","","","https://www.lupo.com.br/feminino/sutia","","Indexable",""
"https://www.lupo.com.br/feminino/calcinhas","1","index, follow","","","https://www.lupo.com.br/feminino/calcinhas","","Indexable",""
"https://www.lupo.com.br/calcinha-loba-af-f-dental-bas-40600-001/p","1","index, follow","","","https://www.lupo.com.br/calcinha-loba-af-f-dental-bas-40600-001/p","","Indexable",""
