"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/bd8cc9ca-03ee-4b3e-9aea-5a53dc9a6b66___bccc32967dae05714939c5c95ced0b72.jpg","image/jpeg","169097","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/1a99888f-d15c-4118-9ee4-35fe3a442f99___94ffeaa4c5c4c72259f1762deda922dd.jpg","image/jpeg","147600","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/341494/40378-001-6006-1.png?v=638950275663000000","image/png","386046","2","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/643972be-e3ee-47bf-a73d-4eef446e2dcc___f040efb9244e978792db43fab3e5eb91.jpg","image/jpeg","171685","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/bc4b3de9-be56-4e3b-8cc7-d2299d1166d6___a826f8c63771ae92fd0c6b08c6132d42.jpg","image/jpeg","259707","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/7107f8a8-e37a-44c3-8c8d-1a64aebfac0d___b4da08bf1b19ccf67cc8a33abb027f02.jpg","image/jpeg","320534","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/345704/41378-001-9990-1.png?v=638950275997400000","image/png","391476","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/325775/40600-001-9990-1.png?v=638950274523970000","image/png","494779","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/325547/40400-001-9990-1.png?v=638950274506100000","image/png","487634","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/327583/41600-001-9990-1.png?v=638950274662170000","image/png","365257","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/365017/75044-900-5144-1.png?v=639136883846530000","image/png","458302","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/357904/45264-001-9990-1.png?v=639065146315030000","image/png","194817","1","Indexable","",""
