date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:00	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2001%20Jun%202026%2019:13:00%20GMT	http://video.xx.fbcdn.net/	/home/marcos/websites/Brinks%20V11/video.xx.fbcdn.net/index.html	(from https://www.facebook.com/)
16:13:00	4994/4994	---M--	200	added ('OK')	image/webp	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/yS/r/hP6qDL2Mt8j.webp	/home/marcos/websites/Brinks%20V11/static.xx.fbcdn.net/rsrc.php/yS/r/hP6qDL2Mt8j.webp	(from https://www.facebook.com/)
16:13:01	1275291/1275291	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v5/ys/l/0,cross/muJP5aEUVXhPwXprauQ7mwLc1ZawZ05wxT9DWDYPz6DhfgQe914iiBfONMKn3YhINqU49pVNahkCkx3H75nbXbY-.css	/home/marcos/websites/Brinks%20V11/static.xx.fbcdn.net/rsrc.php/v5/ys/l/0,cross/muJP5aEUVXhPwXprauQ7mwLc1ZawZ05wxT9DWDYPz6DhfgQe914iiBfONMKn3YhINqU49pVNahkCkx3H75nbXbY-.css	(from https://www.facebook.com/)
16:13:02	64/64	---MCZ	404	error ('Not%20Found')	application/x-javascript	date:Mon,%2001%20Jun%202026%2019:13:01%20GMT	https://connect.facebook.net/robots.txt		(from https://v4pages.fvmarketing.com.br/)
16:13:03	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2001%20Jun%202026%2019:13:02%20GMT	http://scontent.xx.fbcdn.net/robots.txt		(from https://www.facebook.com/)
16:13:03	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2001%20Jun%202026%2019:13:03%20GMT	http://video.xx.fbcdn.net/robots.txt		(from https://www.facebook.com/)
16:13:05	569/569	---M-Z	200	added ('OK')	text/plain	date:Mon,%2001%20Jun%202026%2019:13:04%20GMT	https://static.xx.fbcdn.net/robots.txt		(from https://www.facebook.com/)
16:13:05	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://v4pages.fvmarketing.com.br/cofre-inteligente)
16:13:07	993/993	UR-MC-	200	added ('OK')	text/javascript	date:Mon,%2001%20Jun%202026%2019:13:05%20GMT	https://www.youtube.com/iframe_api	/home/marcos/websites/Brinks%20V11/www.youtube.com/iframe_api	(from https://v4pages.fvmarketing.com.br/cofre-inteligente)
16:13:13	159385/-1	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2019:13:06%20GMT	https://v4pages.fvmarketing.com.br/	/home/marcos/websites/Brinks%20V11/v4pages.fvmarketing.com.br/index.html	(from https://v4pages.fvmarketing.com.br/cofre-inteligente)
16:14:05	436647/436647	URF---	200	added ('OK%20(cached)')	image/png		https://files.greatpages.com.br/arquivos/paginas_editor/443664-118c7e3c72560cc0e85c23c293be416c.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-118c7e3c72560cc0e85c23c293be416c.png	(from https://v4pages.fvmarketing.com.br/)
16:14:13	30840/30840	URF---	200	added ('OK%20(cached)')	image/png		https://files.greatpages.com.br/arquivos/paginas_editor/443664-44df025018b1a7d93946ad6c8b4a57a7.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-44df025018b1a7d93946ad6c8b4a57a7.png	(from https://v4pages.fvmarketing.com.br/)
16:14:14	464307/464307	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://cdn.landingpage.app.br/v4pages.fvmarketing.com.br-cofre-inteligente/1780336407/js.js	/home/marcos/websites/Brinks%20V11/cdn.landingpage.app.br/v4pages.fvmarketing.com.br-cofre-inteligente/1780336407/js.js	(from https://v4pages.fvmarketing.com.br/cofre-inteligente)
16:14:14	7892/7892	URF---	200	added ('OK%20(cached)')	image/png		https://cdn.landingpage.app.br/v4pages.fvmarketing.com.br/1759190293/imagens/desktop/443664-db2a84f1d720301a00e8402388aee04d.png	/home/marcos/websites/Brinks%20V11/cdn.landingpage.app.br/v4pages.fvmarketing.com.br/1759190293/imagens/desktop/443664-db2a84f1d720301a00e8402388aee04d.png	(from https://v4pages.fvmarketing.com.br/)
16:15:02	0/0	UR-M--	416	error ('Range%20Not%20Satisfiable')	text/html	etag:%22e6e4028fca02a56bd49564155f483909%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-baa1d04dd237ee805da38239f2396b0f.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-baa1d04dd237ee805da38239f2396b0f.png	(from https://v4pages.fvmarketing.com.br/)
16:15:02	0/0	--F---	200	added ('OK%20(cached)')	application/octet-stream		https://www.facebook.com/tr?id=651241081051316&ev=PageView&noscript=1	/home/marcos/websites/Brinks%20V11/www.facebook.com/tr9725	(from https://v4pages.fvmarketing.com.br/)
16:15:03	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2001%20Jun%202026%2019:15:03%20GMT	http://scontent.xx.fbcdn.net/	/home/marcos/websites/Brinks%20V11/scontent.xx.fbcdn.net/index.html	(from https://www.facebook.com/)
16:15:04	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2001%20Jun%202026%2019:15:04%20GMT	http://video.xx.fbcdn.net/	/home/marcos/websites/Brinks%20V11/video.xx.fbcdn.net/index.html	(from https://www.facebook.com/)
