Relatório de locais
Todo o período
Local,Campanha,Grupo de anúncios,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Taxa de conv.,Conversões,Custo / conv.
"2,0|km|(26.520908, -82.008753) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] | Kitchen l Campeões, --,USD,"0,00",2,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.076949, -81.709100) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.599523, -81.960345) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",14,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.507390, -81.915370) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Punta Gorda, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"230,62",147,4,"2,72%","8,48","33,90","25,00%","1,00","33,90"
"2,0|km|(26.111362, -81.771584) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",5,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"2437,63",368,27,"7,34%","33,22","897,05","0,00%","0,00","0,00"
"2,0|km|(26.582945, -82.034503) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.612416, -81.935005) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Park Shore, Florida, United States",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Central Naples, Florida, United States",[V4] | Search | Leads | Kitchen #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34104, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] | Kitchen l Campeões #2, --,USD,"2790,81",62,8,"12,90%","21,63","173,03","0,00%","0,00","0,00"
"2,0|km|(26.458223, -81.926356) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"651,10",100,3,"3,00%","21,70","65,11","0,00%","0,00","0,00"
"Punta Gorda, Flórida, Estados Unidos",Leads-Search-MIKE, --,USD,"0,00",8,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Condado de Collier, Flórida, Estados Unidos",Leads-Search-5, --,USD,"55,44",42.959,652,"1,52%","3,65","2381,72","0,31%","2,00","1190,86"
"2,0|km|(26.680106, -82.075400) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.581102, -81.945305) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",10,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Naples, Flórida, Estados Unidos",Leads-Performance Max-1, --,USD,"28,04",422,15,"3,55%","0,79","11,83","0,00%","0,00","0,00"
"15,0|mi|Naples, FL",[V4] YouTube | Leads, --,USD,"53,55",2.725,223,"8,18%","0,65","145,91","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] | Kitchen l Campeões, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.661517, -81.932602) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Estero, Flórida, Estados Unidos",Search - Mike Renovations, --,USD,"104,29",105,6,"5,71%","1,83","10,95","0,00%","0,00","0,00"
"2,0|km|(26.479122, -81.984721) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",4,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.591541, -81.987877) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
