Relatório de palavras-chave da rede de pesquisa
Todo o período
Ação de conversão,Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Sessão 35seg, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,, --,0,0,0, --,0,0,0, --,0,0,0
Sessão 40seg, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,, --,0,0,0, --,0,0,0, --,0,0,0
Sessão 45seg, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,, --,0,0,0, --,0,0,0, --,0,0,0
V4 - Envio de Formulário, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,, --,0,0,0, --,0,0,0, --,0,0,0
 --, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,, --,0,0,0, --,0,0,0, --,0,0,0
Agendamento | Site, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"5,00",0,0
Calls from ads, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"12,00",0,0
Calls from Smart Campaign Ads, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Clique no Botão de Ligação, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"13,00",0,0
Envio de Formulário - Site, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"16,00",0,0
Sessão 35seg, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"15,00",0,0
Sessão 40seg, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"17,00",0,0
Sessão 45seg, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"20,00",0,0
V4 - Envio de Formulário, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"41,00",0,0
,,,Total: Palavras-chave na sua conta,,,,,,USD,"261,53",271.789,7.729,"2,84%","9,20","71079,99",7.729,"2,17%","168,00","9,20","423,10"
Business profile - Form,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Clique no Botão de Ligação,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"15,00",0,0
Sessão 40seg,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"17,00",0,0
V4 - Envio de Formulário,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"51,00",0,0
Envio de Formulário - Site,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"16,00",0,0
Calls from ads,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"26,00",0,0
mikerenovations.com (web) generate_lead,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form submit,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Agendamento | Site,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"7,00",0,0
Sessão 35seg,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"15,00",0,0
Business profile - Tracked call,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Call,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 45seg,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"20,00",0,0
Book Estimate,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
