"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://lolaaviamentos.com.br/bordado1/hidrossoluvel/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","722057368399cb318d8785222e76b762","53","https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/","https://lolaaviamentos.com.br/bordado1/hidrossoluvel/"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-105g-155-100m/","text/html; charset=UTF-8","200","OK","Indexable","","24ef149494f9ea570040e9ca6aebd11a","75","https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-105g-155-100m/","https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-105g-155-100m/"
"https://www.lolaaviamentos.com.br/trocas-devolucoes/","text/html; charset=UTF-8","200","OK","Indexable","","abee6b60f305319eccabcb796ca0b9c9","52","https://www.lolaaviamentos.com.br/trocas-devolucoes/","https://www.lolaaviamentos.com.br/trocas-devolucoes/"
"https://lolaaviamentos.com.br/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","application/javascript","200","OK","Indexable","","","92","","https://lolaaviamentos.com.br/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js"
"https://www.lolaaviamentos.com.br/produtos/regulador-plastico-para-bone-1000-un/","text/html; charset=UTF-8","200","OK","Indexable","","7c00eaa0952ce6c58eaee5f0285a0e9d","80","https://www.lolaaviamentos.com.br/produtos/regulador-plastico-para-bone-1000-un/","https://www.lolaaviamentos.com.br/produtos/regulador-plastico-para-bone-1000-un/"
"https://lolaaviamentos.com.br/bordado1/rasgo-facil/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","fda90ada438da82a926612e0ac9fa0cf","51","https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/","https://lolaaviamentos.com.br/bordado1/rasgo-facil/"
"https://lolaaviamentos.com.br/entretela-de-memoria/preta/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","f05630178a8a15e304d86b73a27a3158","57","https://www.lolaaviamentos.com.br/entretela-de-memoria/preta/","https://lolaaviamentos.com.br/entretela-de-memoria/preta/"
"https://lolaaviamentos.com.br/maquinas-acessorios/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","95a5c963db794d43daa7d51d3a59dde0","50","https://www.lolaaviamentos.com.br/maquinas-acessorios/","https://lolaaviamentos.com.br/maquinas-acessorios/"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/","text/html; charset=UTF-8","200","OK","Indexable","","49b59358a74139556826d87b2c5f3408","56","https://www.lolaaviamentos.com.br/entretela-alfaiataria/","https://www.lolaaviamentos.com.br/entretela-alfaiataria/"
"https://lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","1f118f3636f062b50ec202a9aaceb5ea","96","https://www.lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","https://lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/"
"https://www.lolaaviamentos.com.br/produtos/https-www-lolaaviamentos-com-br-acessorios/","text/html; charset=UTF-8","200","OK","Indexable","","b910e5b13def6b35cbbac6f4031fc35b","86","https://www.lolaaviamentos.com.br/produtos/https-www-lolaaviamentos-com-br-acessorios/","https://www.lolaaviamentos.com.br/produtos/https-www-lolaaviamentos-com-br-acessorios/"
"https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1000un/","text/html; charset=UTF-8","200","OK","Indexable","","3309608dd969b04ee578253403b75f02","89","https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1000un/","https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1000un/"
"https://www.lolaaviamentos.com.br/produtos/entretela-hidrossoluvel-para-bordado-60g-52cm-25m/","text/html; charset=UTF-8","200","OK","Indexable","","b584731198c898bd44b5ed1701f1a26d","93","https://www.lolaaviamentos.com.br/produtos/entretela-hidrossoluvel-para-bordado-60g-52cm-25m/","https://www.lolaaviamentos.com.br/produtos/entretela-hidrossoluvel-para-bordado-60g-52cm-25m/"
