"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","Indexable","","2","","244","110","0","77.460","98","38","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","Indexable","","2","","257","110","0","77.460","121","43","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","Indexable","","2","","250","110","0","77.460","108","40","0","14","6","0"
"https://www.lolaaviamentos.com.br/contato/","Indexable","","2","","122","110","0","77.460","79","35","0","15","6","0"
"https://www.lolaaviamentos.com.br/liquidacao/","Indexable","","2","","253","110","0","77.460","123","43","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/preta/","Indexable","","2","","238","110","0","77.460","88","36","0","14","6","0"
"https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","Indexable","","2","","238","110","0","77.460","88","36","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","Indexable","","2","","230","109","0","76.760","82","35","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/algodao/","Indexable","","2","","237","110","0","77.460","88","36","0","14","6","0"
"https://www.lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","Indexable","","2","","247","110","0","77.460","103","39","0","14","6","0"
"https://www.lolaaviamentos.com.br/insumos-para-bones/vies1/","Indexable","","2","","246","110","0","77.460","100","38","0","14","6","0"
"https://www.lolaaviamentos.com.br/produtos/filme-papel-termocolante-definitivo-para-patchwork-48cm-5m/","Indexable","","2","","47","8","0","5.630","101","38","0","19","10","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","Indexable","","2","","85","16","0","11.270","130","43","0","25","16","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-90g-90cm-200m/","Indexable","","2","","79","14","0","9.860","130","43","0","26","17","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-30g-90cm-200m/","Indexable","","2","","69","14","0","9.860","105","38","0","23","14","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-rasgavel-60g-lef-60/","Indexable","","2","","103","24","0","16.900","124","43","0","21","12","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-50g-90cm-200m/","Indexable","","2","","82","15","0","10.560","130","43","0","24","15","0"
