"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[4]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[4]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[5]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[5]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[6]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[6]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-video-home']/div/div/div[2]/div[1]/a","Content","HTML","1103785","135671"
"Image","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[4]/div[2]/div/div/div[3]/div[1]/img","Header","HTML","1103785","135671"
"Image","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/header/div/div[@class='d-md-none']/div/div/div[3]/div[1]/img","Header","HTML","1103785","135671"
"Image","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@id='related-products-notification']/div[@class='modal-body']/div[1]/div[1]/div/div[1]/img","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/suede1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/suede1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/bordado1/toque-macio/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/bordado1/toque-macio/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/acessorios/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/acessorios/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
