"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.facebook.com/sharer/sharer.php?u=https://www.lolaaviamentos.com.br/produtos/regulador-plastico-para-bone-1000-un/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-grafite-1000px-1000px-reg-24-71881fb054838e0b5417545135316555-50-0.webp","image/webp","200","OK","Indexable","","0","0.131","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-preto-1000x-x-1000px-reg-09-7fe93f9ae5a7ced14317545135318647-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.153","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-caqui-1000x-x-1000px-reg-19-84d9907547b54b23e717545135319521-50-0.webp","image/webp","200","OK","Indexable","","0","0.152","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-preto-1000x-x-1000px-reg-09-7fe93f9ae5a7ced14317545135318647-50-0.webp","image/webp","200","OK","Indexable","","0","0.142","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-verde-militar-1000x-x-1000px-reg-27-3dde6d52f5b3b92cc817545135316931-50-0.webp","image/webp","200","OK","Indexable","","0","0.118","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/reg-visao-de-cima-misturado-1000x1000px-5a5677a6244ffaf07d17545138287246-50-0.webp","image/webp","200","OK","Indexable","","0","0.143","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/reg-visao-de-cima-misturado-1000x1000px-5a5677a6244ffaf07d17545138287246-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.132","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-vermelho-1000x-x-1000px-reg-04-16fc16190c8d1ee13a17545135320278-50-0.webp","image/webp","200","OK","Indexable","","0","0.139","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-cinza-claro-1000x-x-1000px-reg-20-e0cefd653c82388bca17545135318224-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.136","",""
